,TimeSec,SleepLVL,HR
0,1020,0,63
1,1050,0,84
2,1080,0,85
3,1110,0,53
4,1140,0,51
5,1170,0,50
6,1200,0,50
7,1230,0,50
8,1260,0,50
9,1290,0,50
10,1320,0,50
11,1350,0,49
12,1380,1,49
13,1410,2,49
14,1440,2,49
15,1470,2,48
16,1500,2,48
17,1530,2,49
18,1560,2,48
19,1590,2,49
20,1620,2,50
21,1650,2,48
22,1680,2,49
23,1710,2,50
24,1740,2,50
25,1770,2,49
26,1800,2,49
27,1830,2,50
28,1860,2,50
29,1890,2,50
30,1920,2,50
31,1950,2,50
32,1980,2,50
33,2010,2,50
34,2040,2,50
35,2070,2,48
36,2100,2,50
37,2130,2,50
38,2160,2,50
39,2190,2,51
40,2220,2,51
41,2250,2,51
42,2280,2,51
43,2310,2,51
44,2340,2,52
45,2370,2,50
46,2400,2,51
47,2430,2,51
48,2460,2,52
49,2490,2,52
50,2520,2,51
51,2550,2,52
52,2580,2,52
53,2610,2,52
54,2640,2,51
55,2670,2,53
56,2700,2,52
57,2730,2,53
58,2760,2,52
59,2790,2,53
60,2820,2,53
61,2850,2,52
62,2880,2,52
63,2910,2,51
64,2940,2,52
65,2970,2,52
66,3000,2,52
67,3030,2,55
68,3060,2,52
69,3090,2,53
70,3120,2,53
71,3150,2,53
72,3180,2,52
73,3210,2,52
74,3240,2,53
75,3270,2,54
76,3300,2,51
77,3330,2,51
78,3360,2,52
79,3390,2,50
80,3420,2,51
81,3450,2,50
82,3480,2,53
83,3510,2,53
84,3540,2,55
85,3570,2,53
86,3600,2,54
87,3630,2,54
88,3660,2,55
89,3690,2,53
90,3720,2,54
91,3750,2,53
92,3780,2,53
93,3810,2,54
94,3840,2,54
95,3870,2,51
96,3900,2,53
97,3930,2,54
98,3960,2,54
99,3990,2,54
100,4020,2,54
101,4050,2,55
102,4080,0,52
103,4110,2,50
104,4140,2,50
105,4170,0,51
106,4200,0,95
107,4230,1,97
108,4260,2,100
109,4290,2,51
110,4320,1,50
111,4350,2,51
112,4380,1,51
113,4410,2,50
114,4440,2,52
115,4470,2,52
116,4500,2,52
117,4530,2,50
118,4560,2,50
119,4590,2,50
120,4620,2,52
121,4650,2,52
122,4680,2,52
123,4710,2,53
124,4740,2,54
125,4770,2,55
126,4800,2,54
127,4830,2,55
128,4860,2,56
129,4890,2,56
130,4920,2,56
131,4950,2,55
132,4980,2,59
133,5010,2,56
134,5040,2,56
135,5070,2,56
136,5100,2,59
137,5130,2,57
138,5160,2,56
139,5190,2,56
140,5220,2,55
141,5250,2,57
142,5280,2,60
143,5310,2,57
144,5340,2,57
145,5370,2,57
146,5400,2,54
147,5430,2,64
148,5460,2,58
149,5490,2,57
150,5520,2,59
151,5550,2,62
152,5580,2,63
153,5610,2,57
154,5640,2,59
155,5670,2,64
156,5700,2,65
157,5730,2,57
158,5760,2,57
159,5790,2,57
160,5820,2,58
161,5850,0,61
162,5880,0,76
163,5910,0,73
164,5940,0,111
165,5970,1,103
166,6000,2,52
167,6030,2,52
168,6060,2,53
169,6090,2,54
170,6120,0,53
171,6150,2,52
172,6180,0,51
173,6210,2,57
